experiment,teacher_loss,teacher_acc,teacher_f1,student_before_loss,student_before_acc,student_before_f1,student_after_loss,student_after_acc,student_after_f1,best_val_loss,best_val_acc,best_val_f1,acc_gain,f1_gain
1,4.865382316006217,9.39,0.07955019114712933,6.896842804684002,11.52,0.08429730957460087,1.5842635517667054,34.239999999999995,0.33065486827322005,1.5694283004019671,37.980000000000004,0.3677682460087549,22.719999999999995,0.2463575586986192
2,5.549583468467566,11.15,0.06657557568737008,7.312605135000435,9.85,0.0784948076107739,1.9680734242603277,24.29,0.22634907508802177,1.793374331893435,30.69,0.28915631218131815,14.44,0.14785426747724786
3,5.778121310434524,11.799999999999999,0.07969817789501284,6.4900094840177305,9.59,0.07730419244825056,2.2061400732417016,23.080000000000002,0.18267446744506655,2.0080514311031172,29.94,0.2549157980823104,13.490000000000002,0.10537027499681599
