epoch,loss
1,5.056487156607001
2,4.836098606324257
3,4.745535824914723
4,4.661177665681181
5,4.546962938040418
6,4.501057097978909
7,4.441904614343668
8,4.407457082777682
9,4.380669993207888
10,4.362166775461962
11,4.351470727140032
12,4.339356207176852
13,4.325575274884549
14,4.316677702052514
15,4.303568052208942
16,4.2939904986135184
17,4.2872949146553685
18,4.286418851989005
19,4.271108857810955
20,4.263028202154447
21,4.2435286910942445
22,4.231366470951558
23,4.2204462097733835
24,4.2104007618506545
25,4.202981158595561
26,4.196142177142756
27,4.190941395357137
28,4.1845732948664205
29,4.17803306469832
30,4.173233170033721
31,4.165771591693849
32,4.161831312472253
33,4.153766167438244
34,4.155498127193402
35,4.147215795638921
36,4.141494080233757
37,4.140608492409787
38,4.132310337422754
39,4.133472449944147
40,4.126729085317353
41,4.1234905256334775
42,4.117754339866931
43,4.114795388468086
44,4.112227401465101
45,4.1128323297671345
46,4.10819577439057
47,4.10507387090522
48,4.10194862041327
49,4.100051760978406
50,4.102241288670493
51,4.095490212940499
52,4.0901490745641995
53,4.089106831709137
54,4.084184647216212
55,4.087871266143097
56,4.082961467830726
57,4.083270965024943
58,4.081651185784499
59,4.079969775646239
60,4.0764082081787425
61,4.074106361555017
62,4.073593617705128
63,4.071912830138145
64,4.067999501972247
65,4.069988743423501
66,4.066803218763503
67,4.063911231277544
68,4.06500071759724
69,4.061858774755922
70,4.059295497586965
71,4.057573547753532
72,4.053590379407644
73,4.057030238763756
74,4.053691391444877
75,4.054232352225067
76,4.055443652755464
77,4.051623063928941
78,4.052156151408124
79,4.050307206790466
80,4.046307975983681
81,4.045856408755798
82,4.041017050023579
83,4.045293787861114
84,4.041096821465455
85,4.040585272147528
86,4.037802265123333
87,4.038298436138026
88,4.03448668953098
89,4.039731724487851
90,4.03882650707079
91,4.031237799798132
92,4.034430756288416
93,4.031972899766225
94,4.033126413974616
95,4.029511557820508
96,4.031453653369718
97,4.028034114471787
98,4.03067388010147
99,4.028392536256015
100,4.030735645757612
